"model","phi","sigma2e","sigma2b","rmse","r2","coverage","ci_width","outlier_rate","constraint_linf"
"ml_water_rho1",66.0176578457643,3.99441854191799e-06,0.000263702156593118,0.0216860317436682,0.609081928221487,0.934253246753247,0.0585306543234931,0.0623647186147186,NA
"ml_water_rho1_rsr",66.0176578457643,3.99441854191799e-06,0.000263702156593118,0.0430009501253636,0.142729484546458,0.847808441558442,0.0585081711466912,0.147727272727273,1.13131098139869e-07
"ml_water",180.85740168103,2.98111025603394e-06,0.000539155855030969,0.0234600818489792,0.531266955241435,0.964691558441558,0.0774368013220184,0.0339556277056277,NA
"ml_water_rsr",180.85740168103,2.98111025603394e-06,0.000539155855030969,0.0312238778128327,0.335428556372018,0.875,0.0774352602145948,0.121888528138528,3.07512310191891e-11
