"run_name","timestamp","phi","sigma2e","sigma2b","rmse","r2","coverage","ci_width","outlier_rate","n_obs_pixels","tuning","covariates","constraint","folds","rho"
"reml_nocov","2026-04-04 14:16:13",142.206211380559,3.04585169270836e-06,0.000433139029647117,0.0359688850657008,0.32268326266731,0.959821428571429,0.071053669861737,0.0377435064935065,7392,"reml","none","none",NA,NA
"reml_water","2026-04-05 16:32:31",1.69142523698008,2.36649427981185e-05,4.00274814804276e-05,0.163516378599257,0.57221868122207,NA,NA,NA,7392,"reml","intercept+water","none",NA,NA
"reml_water_rsr","2026-04-05 16:32:46",1.69142523698008,2.36649427981185e-05,4.00274814804276e-05,0.16050435953226,0.0228942453954585,NA,NA,NA,7392,"reml","intercept+water","RSR",NA,NA
"ml_water","2026-04-06 14:50:46",180.85740168103,2.98111025603394e-06,0.000539155855030969,0.0234600818489792,0.531266955241435,0.964691558441558,0.0774368013220184,0.0339556277056277,7392,"ml","intercept+water","none",NA,NA
"ml_water_rsr","2026-04-06 14:51:17",180.85740168103,2.98111025603394e-06,0.000539155855030969,0.0312238778128327,0.335428556372018,0.875,0.0774352602145948,0.121888528138528,7392,"ml","intercept+water","RSR",NA,NA
"ml_water_rho1","2026-04-07 20:15:58",95.1963668353529,3.27028513426165e-06,0.000311319263297374,0.0207824087489379,0.640121840802134,0.954545454545455,0.0619578935481481,0.042478354978355,7392,"ml","intercept+water","none",NA,"fixed_1"
"ml_water_rho1_rsr","2026-04-07 20:16:19",95.1963668353529,3.27028513426165e-06,0.000311319263297374,0.0211080397297634,0.633977258378245,0.954545454545455,0.0619558275496075,0.0431547619047619,7392,"ml","intercept+water","RSR",NA,"fixed_1"
