"model","phi","sigma2e","sigma2b","rmse","r2","coverage","ci_width","outlier_rate","constraint_linf"
"reml_nocov",142.206211380559,3.04585169270836e-06,0.000433139029647117,0.0359688850657008,0.32268326266731,0.959821428571429,0.071053669861737,0.0377435064935065,NA
"reml_water",1.69142523698008,2.36649427981185e-05,4.00274814804276e-05,0.163516378599257,0.57221868122207,NA,NA,NA,NA
"reml_water_rsr",1.69142523698008,2.36649427981185e-05,4.00274814804276e-05,0.16050435953226,0.0228942453954585,NA,NA,NA,7.80455947846816e-07
